,Reviews,Sentiment
0," The staff were friendly, the room was clean and comfortable and the location was perfect. The pool was a great addition and the breakfast buffet was tasty. The hotel also had a nice bar area with a good selection of drinks. All in all it was an enjoyable stay and I would recommend it to anyone.",1
1," The staff were friendly and helpful, the rooms were clean, and the location was convenient. The pool was also a great bonus, and it was nice to have access to a gym and laundry room on the premises. Overall, I was very pleased with my stay at this hotel.",1
2," It had a great pool with a lot of different waterslides, a nice hot tub, and a cool gameroom. The room was very comfortable and the staff was really friendly and accommodating. The breakfast buffet was really good and there was a good selection of items. The location was also convenient, with in walking distance to many different restaurants and shops. I would definitely recommend staying here.",1
3," The staff was incredibly friendly and helpful. The rooms were very clean, and the beds were comfortable. The breakfast area had a great selection of food and beverages, and the staff in the cafe were always willing to help. The location was close to many shops, restaurants, and attractions. Overall it was a great experience.",1
4," It was in a great location and the staff were incredibly friendly and helpful. Everyone was always smiling and willing to help with whatever we needed. The room was clean and spacious, and the view was amazing. We had a great time and would highly recommend it to anyone.",1
5," The staff was very friendly and helpful. The room was spacious and clean. The location was convenient, as it was close to public transportation and close to lots of restaurants. The breakfast buffet was also delicious. I would definitely recommend this hotel to friends and family.",1
6," The staff was friendly, the room was comfortable and clean, and the amenities were top notch. The hotel had a pool, a fitness center, and a restaurant. The breakfast buffet was delicious and had a variety of options to choose from. The location was perfect, close to the beach, shops, and attractions. Overall, it was a great hotel and I would definitely recommend it to others.",1
7," The location was perfect, as it was right in the middle of town. The rooms were spacious and clean, and the staff was friendly and helpful. We really enjoyed the breakfast buffet. The swimming pool was well-maintained and the hot tub was clean and comfortable. Overall, we had a great experience and would highly recommend this hotel to others.",1
8, The staff was friendly and very accommodating. The room was comfortable and spacious and the breakfast in the morning was delicious. The pool and jacuzzi area was a great way to relax after a long day. Overall it was a pleasant experience and I would definitely stay here on my next trip to the area.,1
9," The staff was friendly and helpful, the room was spacious and clean, and the amenities were great. The hotel had a restaurant, bar, and pool on-site, which was very convenient. The location was close to local attractions, with easy access to public transportation. We would definitely stay here again.",1
10," The staff were really friendly and accommodating and the rooms were spacious and clean. The bed was comfortable and the bathroom was modern and well-equipped. The breakfast was delicious, with a good selection of hot and cold items. The location was perfect for exploring the city, with easy access to public transport and attractions. Overall, I had a pleasant stay at this hotel and would recommend it to anyone looking for a comfortable and convenient stay in Frankfurt.",1
11," The staff was friendly and helpful and the hotel was clean. The beds were comfortable and the location was convenient. The included breakfast was delicious and a great way to start the day. The pool was also great and very relaxing. Overall, it was a nice stay and I would highly recommend it.",1
12," The rooms were clean and spacious. The beds were actually quite comfortable. The staff was friendly and helpful. The breakfast was delicious and had a good selection. The location was nice and convenient. Overall, it was a great stay.",1
13," The room was spacious and had all the amenities I needed. The bed was comfortable and the staff were very friendly and helpful. They provided great customer service throughout my stay. They also had a great breakfast buffet that was included in the price. The location was great, as it was close to many attractions and restaurants. I would definitely stay here again.",1
14," The staff was friendly, the room was spacious and clean, and the amenities were fantastic. The breakfast buffet was especially delicious with a variety of options. There was also a great pool and fitness center on site, so everyone had something to enjoy. Overall, this was a great place to stay and I would definitely come back again.",1
